country,year,pop_adult,any_account_share,formal_account_share,mobile_account_share,saved_formal,active_accounts,registered_accounts,agents_per_100k,active_accounts_per_1000,mobile_to_formal_ratio,delta_active_accounts,delta_mobile_account_share,sadc_mobile_avg,relative_penetration_index
Afghanistan,2011,14575546.0,0.090050121,0.090050121,,,,,,,,,,,
Albania,2011,2281010.0,0.282681244,0.282681244,,,,,,,,,,,
Algeria,2011,26251587.0,0.332861125,0.332861125,,,,,,,,,,,
Angola,2011,12779501.0,0.392035423,0.392035423,,,,,,,,,,,
Argentina,2011,30685516.0,0.33130217,0.33130217,,,,,,,,,,,
Armenia,2011,2457011.0,0.174868727,0.174868727,,,,,,,,,,,
Australia,2011,17830548.0,0.990648467,0.990648467,,,,,,,,,,,
Austria,2011,7123870.0,0.970817388,0.970817388,,,,,,,,,,,
Azerbaijan,2011,7034188.0,0.149008504,0.149008504,,,,,,,,,,,
Bahrain,2011,978145.0,0.645145712,0.645145712,,,,,,,,,,,
Bangladesh,2011,100376575.0,0.317436491,0.317436491,,,,,,,,,,,
Belarus,2011,8075665.0,0.586019795,0.586019795,,,,,,,,,,,
Belgium,2011,9049843.0,0.963061274,0.963061274,,,,,,,,,,,
Benin,2011,5496491.0,0.10463937,0.10463937,,,,,,,,,,,
Bolivia,2011,6675907.0,0.280291328,0.280291328,,,,,,,,,,,
Bosnia And Herzegovina,2011,3217823.0,0.562116083,0.562116083,,,,,,,,,,,
Botswana,2011,1340324.0,0.302600143,0.302600143,,,,,,,,,,,
Brazil,2011,145842533.0,0.558603848,0.558603848,,,,,,,,,,,
Bulgaria,2011,6400381.0,0.528249019,0.528249019,,,,,,,,,,,
Burkina Faso,2011,8802362.0,0.13353092,0.13353092,,,,,,,,,,,
Burundi,2011,5147947.0,0.072379846,0.072379846,,,,,,,,,,,
Cambodia,2011,9675871.0,0.036597117,0.036597117,,,,,,,,,,,
Cameroon,2011,11072780.0,0.148096124,0.148096124,,,,,,,,,,,
Canada,2011,28373521.0,0.958046425,0.958046425,,,,,,,,,,,
Central African Republic,2011,2428582.0,0.033008091,0.033008091,,,,,,,,,,,
Chad,2011,6309105.0,0.089597456,0.089597456,,,,,,,,,,,
Chile,2011,13480066.0,0.421792855,0.421792855,,,,,,,,,,,
China,2011,1090576711.0,0.638173129,0.638173129,,,,,,,,,,,
Colombia,2011,32481705.0,0.30427801,0.30427801,,,,,,,,,,,
Comoros,2011,382348.0,0.21694674,0.21694674,,,,,,,,,,,
"Congo, Dem. Rep.",2011,36981603.0,0.036967262,0.036967262,,,,,,,,,,,
"Congo, Rep.",2011,2658255.0,0.100480566,0.100480566,,,,,,,,,,,
Costa Rica,2011,3423771.0,0.503587278,0.503587278,,,,,,,,,,,
Croatia,2011,3638504.0,0.883910203,0.883910203,,,,,,,,,,,
Cyprus,2011,936237.0,0.852376451,0.852376451,,,,,,,,,,,
Czechia,2011,8965818.0,0.806511951,0.806511951,,,,,,,,,,,
Denmark,2011,4549535.0,0.997367892,0.997367892,,,,,,,,,,,
Djibouti,2011,591971.0,0.122738821,0.122738821,,,,,,,,,,,
Dominican Republic,2011,6788648.0,0.382046712,0.382046712,,,,,,,,,,,
Ecuador,2011,10352753.0,0.367355009,0.367355009,,,,,,,,,,,
"Egypt, Arab Rep.",2011,58969826.0,0.097199806,0.097199806,,,,,,,,,,,
El Salvador,2011,4126198.0,0.137646152,0.137646152,,,,,,,,,,,
Estonia,2011,1128611.0,0.96824276,0.96824276,,,,,,,,,,,
Eswatini,2011,680317.0,0.285694413,0.285694413,,,,,,,,,,,
Finland,2011,4475337.0,0.99651252,0.99651252,,,,,,,,,,,
France,2011,52976120.0,0.969838847,0.969838847,,,,,,,,,,,
